,ngram,NEG,NEUT,POS
612,걱정이,1.0,0.0,0.0
613,근심하거나,1.0,0.0,0.0
614,안타까워,1.0,0.0,0.0
615,금지되다,1.0,0.0,0.0
616,금지된,1.0,0.0,0.0
617,물건을,1.0,0.0,0.0
618,금지하는,1.0,0.0,0.0
619,말과,1.0,0.0,0.0
620,금지하려,1.0,0.0,0.0
621,금지하려,1.0,0.0,0.0
622,할,1.0,0.0,0.0
623,금지함,1.0,0.0,0.0
624,급성,1.0,0.0,0.0
625,염증,1.0,0.0,0.0
626,급성,1.0,0.0,0.0
627,위장염의,1.0,0.0,0.0
628,급작스럽게,1.0,0.0,0.0
629,화를,1.0,0.0,0.0
630,기능,1.0,0.0,0.0
631,장애로,1.0,0.0,0.0
632,기만하다,1.0,0.0,0.0
633,기분,1.0,0.0,0.0
634,나쁠,1.0,0.0,0.0
635,기분을,1.0,0.0,0.0
636,나쁘게,1.0,0.0,0.0
637,기분이,1.0,0.0,0.0
638,나쁘거나,1.0,0.0,0.0
639,기분이,1.0,0.0,0.0
640,상하다,1.0,0.0,0.0
641,기운,1.0,0.0,0.0
642,없이,1.0,0.0,0.0
643,기운이,1.0,0.0,0.0
644,다하여,1.0,0.0,0.0
645,기운이,1.0,0.0,0.0
646,빠져,1.0,0.0,0.0
647,기운이,1.0,0.0,0.0
648,빠져서,1.0,0.0,0.0
649,기운이,1.0,0.0,0.0
650,쇠약하여,1.0,0.0,0.0
651,기운이,1.0,0.0,0.0
652,없거나,1.0,0.0,0.0
653,기운이,1.0,0.0,0.0
654,없고,1.0,0.0,0.0
655,기운이,1.0,0.0,0.0
656,없는,1.0,0.0,0.0
657,기운이,1.0,0.0,0.0
658,없다,1.0,0.0,0.0
659,기운이,1.0,0.0,0.0
660,없어,1.0,0.0,0.0
661,기운이,1.0,0.0,0.0
662,없어지고,1.0,0.0,0.0
663,기운이,1.0,0.0,0.0
664,없이,1.0,0.0,0.0
665,기운이나,1.0,0.0,0.0
666,의욕,1.0,0.0,0.0
667,따위가,1.0,0.0,0.0
668,없이,1.0,0.0,0.0
669,기절하듯이,1.0,0.0,0.0
670,기절하듯이,1.0,0.0,0.0
671,쓰러지다,1.0,0.0,0.0
672,기절할,1.0,0.0,0.0
673,기절할,1.0,0.0,0.0
674,듯이,1.0,0.0,0.0
675,기죽다,1.0,0.0,0.0
676,기준에,1.0,0.0,0.0
677,어긋나,1.0,0.0,0.0
678,기피되어,1.0,0.0,0.0
679,따돌림을,1.0,0.0,0.0
680,기피하여,1.0,0.0,0.0
681,따돌리거나,1.0,0.0,0.0
682,길이,1.0,0.0,0.0
683,막막하게,1.0,0.0,0.0
684,길이,1.0,0.0,0.0
685,막막하다,1.0,0.0,0.0
686,깊이,1.0,0.0,0.0
687,근심함,1.0,0.0,0.0
688,깊이,1.0,0.0,0.0
689,슬퍼하다,1.0,0.0,0.0
690,깊이,1.0,0.0,0.0
691,슬퍼함,1.0,0.0,0.0
692,까마득하다,1.0,0.0,0.0
693,까마아득하게,1.0,0.0,0.0
694,까무러질,1.0,0.0,0.0
695,까무러질,1.0,0.0,0.0
696,듯하다,1.0,0.0,0.0
697,까무러질,1.0,0.0,0.0
698,듯한,1.0,0.0,0.0
